grade,subject,main_chap_num,main_chap,mid_chap_num,mid_chap,small_chap_num,small_chap
고1,공통수학(상),1,다항식,1,다항식의 연산,nan,
고1,공통수학(상),2,방정식과 부등식,1,복소수와 이차방정식,nan,
고1,공통수학(상),2,방정식과 부등식,2,이차방정식과 이차함수,nan,
고1,공통수학(상),2,방정식과 부등식,3,여러 가지 방정식과 부등식,nan,
고1,공통수학(상),3,경우의 수,1,순열과 조합,nan,
고1,공통수학(상),4,행렬,1,행렬과 그 연산,nan,
고1,공통수학(하),1,도형의 방정식,1,평면좌표,nan,
고1,공통수학(하),1,도형의 방정식,2,직선의 방정식,nan,
고1,공통수학(하),1,도형의 방정식,3,원의 방정식,nan,
고1,공통수학(하),1,도형의 방정식,4,도형의 방정식,nan,
고1,공통수학(하),2,집합과 명제,1,집합,1,집합의 개념과 표현
고1,공통수학(하),2,집합과 명제,1,집합,2,집합 사이의 포함 관계
고1,공통수학(하),2,집합과 명제,1,집합,3,집합의 연산
고1,공통수학(하),2,집합과 명제,2,명제,nan,
고1,공통수학(하),3,함수,1,함수,1,함수의 뜻과 그래프
고1,공통수학(하),3,함수,1,함수,2,합성함수
고1,공통수학(하),3,함수,1,함수,3,역함수
고1,공통수학(하),3,함수,2,유리함수와 무리함수,1,유리식과 유리함수
고1,공통수학(하),3,함수,2,유리함수와 무리함수,2,무리식과 무리함수
고2,수학1,1,지수함수와 로그함수,1,지수,1,거듭제곱과 거듭제곱근
고2,수학1,1,지수함수와 로그함수,1,지수,2,지수의 확장과 지수법칙
고2,수학1,1,지수함수와 로그함수,2,로그,1,로그의 뜻과 성질
고2,수학1,1,지수함수와 로그함수,2,로그,2,상용로그
고2,수학1,1,지수함수와 로그함수,3,지수함수,1,지수함수의 뜻과 그래프
고2,수학1,1,지수함수와 로그함수,3,지수함수,2,지수함수의 최대 최소
고2,수학1,1,지수함수와 로그함수,3,지수함수,3,지수방정식과 지수부등식
고2,수학1,1,지수함수와 로그함수,4,로그함수,1,로그함수의 뜻과 그래프
고2,수학1,1,지수함수와 로그함수,4,로그함수,2,로그함수의 최대 최소
